"","business_id","name","address","city","state","postal_code","latitude","longitude","stars"
"63","owV0aSgh4t_9aG56iPxGEw","Panda Express","6895 Ridge Rd","Parma","OH","44129",41.3780450831,-81.7341383189,2.5
"305","iDHWqYdaTd5cHjppBdg5Rw","Classic Chinese Cuisine","1025 Washington Pike, Ste 25","Bridgeville","PA","15017",40.36464,-80.111125,3.5
"540","SWDEdiv_v1QppobT1YnEPA","Chin's Pagoda Chinese & American Restaurant","30708 Lake Shore Blvd","Willowick","OH","44095",41.6406608,-81.4719222,3
"564","P9ASoX1gV30Sw7_dWvrv5Q","Faith Sung Inc Dba Asian Kitchen","1301 E 9th St","Cleveland","OH","44114",41.5049336,-81.6895088,4
"619","G4JLnk8TkeAhZ71V4Pof8A","Panda Express","4155 William Penn Hwy","Monroeville","PA","15146",40.4392892,-79.7651236,3
"806","izOvku5li7kyzY76UzLP2g","Yen's Gourmet","4219 Murray Ave","Pittsburgh","PA","15217",40.4225614,-79.9285714,2
"1019","gxvSB3hEIW2EfTtUu77rZg","China Wok","6178 Dunham Rd","Maple Heights","OH","44137",41.391911,-81.576027,3.5
"1040","HVpwpXneaCWMeEBF7H8jpQ","Taiwan Little Eats","320 State St","Madison","WI","53703",43.0749538,-89.3907598,4
"1125","2cetuQgbP1Bnzm-uMRlocQ","Nam's Noodle","1336 Regent St","Madison","WI","53715",43.0679775,-89.4084538,3.5
"1175","2lXYidovGbSa56cd07oHlg","Hunan of Stow","4157 Bridgewater Pkwy","Stow","OH","44224",41.1803286,-81.4816831,3
"1245","mv-jYCNbl37aZ7gVZu8vaw","Ruby Oriental Restaurant","111 River Pl","Monona","WI","53716",43.0472392,-89.3265349,2.5
"1330","OyBStpjF5e_iRCMXflFasQ","Evo Cafe","711 S 6th St","Champaign","IL","61820",40.1094391,-88.2306035,2.5
"1331","riXr33UJRQXVMKJcNZPqqw","Wing Kee","23161 Emery Rd","Cleveland","OH","44128",41.4357413332,-81.5152082,1.5
"1393","8ZL4ed3Y8_F6AgPAYxgi2g","Hunan Chester","12611 Chillicothe Rd","Chesterland","OH","44026",41.525976,-81.336288,3.5
"1469","y3vpN6sfipzEpn9Tt5wuog","China Dragon","87 Northfield Rd","Bedford","OH","44146",41.379594,-81.526479,3
"1550","gz87Wa7QUZ3gNlgE9NVPAA","Chan An Restaurant","2013 Wharton St","Pittsburgh","PA","15203",40.431507,-79.977122,3
