"","business_id","stars"
"21","z9lOfnUorcbWR_xS0DSeHw",4
"127","t_yiQnxUDdPPCN2z4QyezA",5
"170","VGxJbglGlx-a7Gdc55Q6jQ",1
"228","P3dBcZh_Hmr1wVWFZn2b-g",2
"260","UPSzbM6D2SkarWAINq1I9A",3
"261","ceuvH6NpDhpT1p4q1w93pA",3
"313","3e0IGa_-zqTemKLc1dbdmg",1
"335","2cetuQgbP1Bnzm-uMRlocQ",1
"350","ceuvH6NpDhpT1p4q1w93pA",5
"354","hcFSc0OHgZJybnjQBrL_8Q",3
"366","z9lOfnUorcbWR_xS0DSeHw",4
"402","hcFSc0OHgZJybnjQBrL_8Q",5
"415","UPSzbM6D2SkarWAINq1I9A",5
"439","hcFSc0OHgZJybnjQBrL_8Q",5
"451","UPSzbM6D2SkarWAINq1I9A",2
"454","UPSzbM6D2SkarWAINq1I9A",3
"464","hcFSc0OHgZJybnjQBrL_8Q",5
"476","t_yiQnxUDdPPCN2z4QyezA",5
"587","ui33pIJmkW0s8HddH_ZZ9A",4
"632","hcFSc0OHgZJybnjQBrL_8Q",2
"678","sfd19Wo_7g2TwaoJmA9B8A",1
"689","hcFSc0OHgZJybnjQBrL_8Q",4
"695","sfd19Wo_7g2TwaoJmA9B8A",4
"732","hcFSc0OHgZJybnjQBrL_8Q",5
"757","hcFSc0OHgZJybnjQBrL_8Q",5
"778","z9lOfnUorcbWR_xS0DSeHw",4
"791","UPSzbM6D2SkarWAINq1I9A",3
"805","8cjXEmuqgCbIRudb2D52qw",4
"854","z9lOfnUorcbWR_xS0DSeHw",3
"877","XhMfL-6lt-prYyC9Lp02gg",4
"880","ui33pIJmkW0s8HddH_ZZ9A",4
"884","JEqM8xXhKumU5AfhmsiD8w",1
"886","Ks7EuyQVI2JEif4Xp70MmA",4
"936","hcFSc0OHgZJybnjQBrL_8Q",4
"937","ceuvH6NpDhpT1p4q1w93pA",4
"939","8cjXEmuqgCbIRudb2D52qw",2
"952","sfd19Wo_7g2TwaoJmA9B8A",2
"960","UPSzbM6D2SkarWAINq1I9A",5
"975","t_yiQnxUDdPPCN2z4QyezA",5
"1008","sfd19Wo_7g2TwaoJmA9B8A",4
"1040","hcFSc0OHgZJybnjQBrL_8Q",5
