"","sweet","spicy","bitter","salty","bland","sour","crispy","chicken","fish","beef","soup","tea"
"mrK-GF4zYYj8A3oIlvUVTQ",3,0,0,0,0,0,0,0,0,2,0,0
"CWjzk0w-OZwzOmCut-6bvQ",0,0,0,0,0,0,0,0,0,0,0,0
"6GNIVJCqvvPAKXKL3oa9Sg",0,0,0,0,0,0,0,0,0,0,0,0
"0YYee5a_4dKRIwX7eFgn-w",0,0,0,0,4,0,0,3,0,0,0,0
"1wq5l-o3TMaO2nvdNJ7qxQ",0,0,0,0,0,0,0,0,0,0,0,0
"HwDOaAf23CQQ-88ceKJpWw",0,0,0,0,0,0,0,0,0,0,0,0
"RixckAK2JzzZ4YZsCxQh3A",0,0,0,0,0,0,0,1,0,0,0,0
"fAHNaX8n8_P-wDcBkN3Srw",0,0,0,1,1,0,0,0,0,0,0,0
"edvKj9Y0jArHW0tqCGMFPw",0,0,0,0,0,0,1,1,0,0,0,0
"KdM1CLaQGuvl0LnQVmIHAg",0,0,0,0,0,0,0,0,0,1,1,0
"2YA139B8VrTjgxbAF5mLFA",0,0,0,0,0,0,0,0,0,0,1,0
"kJurWkx6NrhACr-Yn61YNA",0,0,0,0,0,0,0,0,0,0,0,0
"-3DmFwrKM2M4zj4xQHd4xA",1,0,0,0,0,0,0,1,0,1,0,0
"4CMCRoNZgmxwtOBLG4I70g",0,0,0,0,0,0,0,1,0,0,1,1
"9WICfh1QebJhtdOx7yl4cA",0,0,0,0,0,0,0,1,0,1,0,0
"Y6Hwv7Scp5T6TKeduaVMJA",0,0,0,0,0,0,0,0,0,0,0,0
"S1dYOFnwzg7I6gA-3Oi0Ww",0,0,0,0,0,0,0,0,0,0,1,0
"_4orOhduO9SnOB97GeB88Q",0,0,0,0,0,0,1,0,0,0,0,1
"igBz9B9MGSyWVFKxW3gsPg",0,0,0,0,0,0,0,0,0,0,0,0
"tYxO-r6FBe8Hk_set5Vl5A",0,0,0,0,0,0,0,0,0,0,0,0
"R0S39Ntc8fq5fccT1gc4Dw",1,0,0,0,0,0,0,0,0,2,0,0
"vAckaF8n0KKJeqHOnb1ayw",0,0,0,0,0,0,0,0,0,1,2,2
"BFtiwu648FBXtJah5ptfWQ",0,0,0,0,0,0,0,0,0,0,0,0
"3T--R_ptnkjhQL7COw0keQ",0,0,0,0,0,0,0,0,0,0,1,0
"K_ihkvDUzWReqqaZtz3zxw",0,0,0,0,0,0,0,0,0,0,0,0
"CQjNVnapUIGJNo5PrrLpng",0,2,0,0,0,2,0,1,0,0,1,0
"qdFODhwpTKSXuwuim32QqQ",0,0,0,0,0,0,0,0,0,0,0,0
"OlX1uP9eYi2tAoaZulzBdQ",0,0,0,0,0,0,0,0,0,0,0,0
"ZSnAjsNzzxwDbv7ta5MLow",0,0,0,0,0,0,0,0,0,0,0,0
"ceaWt0Y1jk7MqBTAdfJOdg",0,0,0,0,0,0,0,1,0,0,0,0
"yfVvzLBsDXHLZHIad5UPjw",0,0,0,0,0,0,0,2,0,0,0,0
"kVNQo9erl-tNQTMGSNtDew",0,0,0,0,0,0,0,0,0,0,0,0
"oM4Gm-SVIWtcwGwoocyHyA",0,0,0,0,0,0,0,0,0,0,0,0
"9Lc0nE36quqriVZE-2cv9w",0,0,0,0,0,0,0,0,0,0,2,0
"JfIKW3ywnVyt5oFS1y2DWw",0,0,0,0,1,0,0,1,0,0,0,0
"NErVNTgf7el6JCf1ZifH2g",0,0,0,1,0,0,0,0,0,0,0,0
"V6CzLa77O2oYN6X4P98mnA",0,1,0,0,0,0,0,3,0,0,0,0
"GJP4X9pEn5pguT4bBUJ1QA",0,0,0,0,0,0,0,0,0,0,0,0
"Y43je4cFltzTX_0Vilt5lQ",1,0,0,1,0,0,1,0,0,3,0,1
"xC8grdUAmbBmyYywuClywg",0,0,0,0,0,0,0,0,0,0,0,0
"wNtGZlX8_frTC9fdKBy97g",0,1,0,0,0,0,0,0,0,1,1,1
"3_oXjaTTecqHo4XzqG5Cvw",0,0,0,0,0,0,0,0,0,1,1,0
"ozKGDbDnQqaqyJI9joQ5qg",0,0,0,0,0,0,0,0,0,1,0,0
"NXW2lq4vBfPbNS-DNRERkQ",1,0,0,1,0,1,0,0,0,0,0,0
"lUDSB689fICtPGDVj4uzkw",0,0,0,0,0,0,0,0,0,0,0,0
"wiUiJQlmVYzW6eeYTBjfww",0,0,0,0,0,0,0,0,0,0,0,0
"k-SiFFuqlmH4GFRGKqezoA",0,0,0,0,0,0,0,0,0,0,1,0
"sqMFJPNSQSn7k2ZEoji3yA",0,0,0,0,0,0,0,0,0,0,0,0
"H483_vfiyDE4Ddx1B7aLyg",0,0,0,0,0,0,0,1,0,0,0,0
"fvoGoWXJuZyR48Rr09tW1g",1,0,0,0,0,0,0,1,0,0,2,2
"A1tbMMiqcrPXFOGUyq7Tmw",0,0,0,0,0,0,1,2,0,0,1,2
"axRUeLHfyEtu1ON1AhzTtw",0,0,0,0,0,0,0,0,0,0,0,0
"1mFcexQAwrAG0OZux41Gjw",0,0,0,0,1,0,0,5,0,0,0,0
"n4rdRnngI96I0k2ifN_Zxw",0,0,0,0,0,0,0,0,0,0,0,5
"8Mi_HfE6-gVgNwpz8Hf-Xg",0,1,0,0,0,0,0,1,0,0,0,0
"g0jKjGKdB13Ic8Ii_g4hCg",0,0,0,0,0,0,0,0,0,0,0,0
"lAb9_2gVcpOSWmZJljYg3Q",0,0,0,0,0,0,0,0,0,0,0,0
"C7G_Um2Nzc8BpCuot3Eytw",0,0,0,0,0,0,0,0,0,2,2,0
"KWxqAywqFOuGjYwH7l_zqw",0,0,0,0,0,0,0,0,0,0,1,0
"wPIsPnvkjDct268pkLkkgQ",0,0,0,0,0,0,0,0,0,0,0,0
"q21wJ0Hi3BiHiH87XLxzUA",1,0,0,0,0,1,0,0,0,0,0,0
"zsE0UzYJ_2rAEKmKeiRdIw",0,0,0,0,0,0,0,0,0,0,0,0
